Item_id,name
231,dharmambal-ramasamy-arts-and-science-college-thanjavur
232,dharmamurthi-rao-bahadur-calavala-cunnan-chetty's-hindu-drbccch-college-chennai
233,dharmapuram-adinam-arts-college-nagapattinam
234,dhirubhai-ambani-institute-of-information-and
235,dibrugarh-university-dibrugarh
236,don-bosco-college-dharmapuri
237,dr-ambedkar-government-arts-college-chennai
238,dr-ambedkar-institute-of-technology-bengaluru
239,dr-babasaheb-ambedkar-marathwada-university-aurangabad
240,dr-b-r-ambedkar-college-of-law-visakhapatnam
241,dr-b-r-ambedkar-institute-of-technology-south-andaman
242,dr-b-r-ambedkar-national-institute-of-technology-jalandhar
243,dr-d-y-patil-vidyapeeth-pune
244,dr-d-y-patil-vidyapeeth-pune
245,dr-gr-damodaran-college-of-science-coimbatore
246,dr-kalaignar-government-arts-college-karur
247,dr-mahalingam-college-of-engineering-and-technology pollachi
248,dr-mahalingam-college-of-engineering-and-technology-pollachi
249,dr-mgr-chockalingam-arts-college-tiruvannamalai-tiruvanamalai
250,dr-mgr-janaki-college-of-arts-and-science-for-women-chennai
251,dr-nallikuppusamy-arts-college-thanjavur
252,dr-ngp-arts-and-science-college-coimbatore
253,dr-n-g-p-arts-and-science-college-coimbatore
254,dr-ram-manohar-lohiya-national-law-university-lucknow
255,dr-ranm-arts-and-science-college-erode
256,dr-rk-shanmugam-college-of-arts-and-science-villupuram
257,dr-rv-arts-and-science-college-coimbatore
258,dr-sir-al-mudaliar-vocational-arts-and-science-tiruvallur
259,dr-sivanthi-aditanar-college-of-engineering-tiruchendur-thoothukudi
260,dr-sns-rajalakshmi-college-of-arts-and-science-coimbatore
261,dr-umayal-ramanathan-college-for-women-karaikudi-sivagangai
262,dr-vishwanath-karad-mit-world-peace-university-pune
263,dr-y-s-parmar-university-of-horticulture-and-forestry-solan
264,dr-zakir-hussain-college-sivagangai
265,dwaraka-doss-goverdhan-doss-vaishnav-college-chennai
266,dyal-singh-college-new-delhi
267,easwari-engineering-college
268,easwari-engineering-college-chennai
269,edaiyathangudi-gs-pillai-arts-and-science-college-nagapattinam
270,emerald-heights-college-for-women-udhagamandalam-nilgiris
271,emg-yadava-women's-college-madurai
272,enathi-rajappa-college-of-arts-and-science-pattukkottai-thanjavur
273,erode-arts-college-autonomous-erode
274,erode-arts-college-for-women-erode
275,erode-christian-college-of-arts-and-science-for-women-erode
276,erode-sengunthar-engineering-college-thudupathi-erode
277,ethiraj-college-for-women-autonomous-chennai
278,ethiraj-college-for-women-chennai
279,faculty-of-management-studies-delhi
280,farook-college-kozhikode
281,fatima-college-autonomous-madurai
282,fatima-college-madurai
283,fatima-mata-national-college-kollam
284,fergusson-college-pune
285,fore-school-of-management-new-delhi
286,francis-xavier-engineering-college-vannarpettai-tirunelveli
287,ganapathi-seethai-ammal-college-manamadurai-sivagangai
288,gandhi-institute-of-technology-and-management-visakhapatnam
289,ganesar-senthamil-kallori-thanjavur
290,gargi-college-delhi
291,gauhati-university-guwahati
292,gauhati-university-guwahati
293,gayatri-vidya-parishad-college-of-engineering-visakhapatnam
294,g-b-pant-universtiy-of-agriculture-and-technology-pantnagar
295,g-b-pant-universtiy-of-agriculture-and-technology-pantnagar
296,g-b-pant-universtiy-of-agriculture-and-technology-pantnagar
297,gem-gates-arts-amd-science-college-salem
298,g-h-raisoni-college-of-engineering-nagpur
299,gkm-college-of-engineering-and-technology
300,goa-institute-of-management-sanquelim
301,goa-university-goa
302,gobi-arts-and-science-college-autonomous-erode
303,gojan-school-of-business-and-technology
304,goka-raju-ranga-raju-institute-of-engineering-and-technology-hyderabad
305,gopal-ramalingam-memorial-engineering-college
306,goswami-ganesh-dutta-sanatan-dharma-college-chandigarh
307,government-arts-college-coimbatore
308,government-arts-college-for-women-kumbakonam-thanjavur
309,government-arts-college-for-women-pudukkottai-pudukottai
310,government-college-for-women-kumbakonam-thanjavur
311,government-college-of-technology-coimbatore
312,govindammal-adithanar-women's-college-tuticorin
313,govt-arts-and-science-college-for-women-bargur-dharmapuri
314,govt-arts-college-ariyalur
315,govt-arts-college-autonomous-coimbatore
316,govt-arts-college-chidambaram-cuddalore
317,govt-arts-college-coimbatore
318,govt-arts-college-dharmapuri
319,govt-arts-college-for-men-autonomous-chennai
320,govt-arts-college-for-men-krishnagiri
321,govt-arts-college-for-women-krishnagiri
322,govt-arts-college-for-women-krishnagiri
323,govt-arts-college-for-women-ramanathapuram-ramnad
324,govt-arts-college-for-women-salem
325,govt-arts-college-for-women-tirunelveli
326,govt-arts-college-karur
327,govt-arts-college-madurai
328,govt-arts-college-paramakudi-ramnad
329,govt-arts-college-salem
330,govt-arts-college-thiruvananthapuram
331,govt-arts-college-thiruvannamalai-tiruvanamalai
332,govt-arts-college-trichy
333,govt-arts-college-udagamandalam-nilgiris
334,govt-college-for-women-sivagangai
335,govt-college-for-women-thiruvananthapuram
336,govt-home-science-college-sector-10-chandigarh
337,govt-thirumagal-mills-college-vellore
338,g-pulla-reddy-engineering-college-kurnool
339,graphic-era-university-dehradun
340,great-lakes-institute-of-management-chennai
341,gtn-arts-college-dindigul
342,gujarat-national-law-university-gandhinagar
343,guru-gobind-singh-indraprastha-university-new-delhi
344,guru-gobind-singh-indraprastha-university-new-delhi
345,guru-gobind-singh-indraprastha-university-new-delhi
346,guru-gobind-singh-indraprastha-university-new-delhi
347,guru-nanak-college-chennai
348,guru-nanak-dev-university-amritsar
349,guru-nanak-dev-university-amritsar
350,guru-shree-shanti-vijai-jain-college-for-women-chennai
351,gvn-college-tuticorin
352,haldia-institute-of-technology-haldia
353,hans-raj-college-delhi
354,harur-muthu-arts-and-science-college-for-women-dharmapuri
355,heritage-institute-of-technology-kolkata
356,hh-the-rajahs-college-autonomous-pudukkottai-pudukottai
357,hindu-college-delhi
358,hindustan-college-of-arts-and-science-chennai
359,hindustan-institute-of-technology-and-science-chennai
360,hindusthan-college-of-arts-and-science-coimbatore
361,hkrh-college-theni
362,holy-cross-college-autonomous-trichy
363,holy-cross-college-nagercoil-kanyakumari
364,holy-cross-college-tiruchirappalli
365,holy-cross-home-science-college-for-women-tuticorin
366,homi-bhabha-national-institute-mumbai
367,homi-bhabha-national-institute-mumbai
368,icfai-foundation-for-higher-education-hyderabad
369,idaya-college-of-arts-and-science-for-women-tiruvannamalai-tiruvanamalai
370,idhaya-college-of-arts-and-science-for-women-kumbakonam-thanjavur
371,idhaya-engineering-college-for-women
372,idhaya-women's-college-sivagangai
373,iihmr-university-jaipur
374,imayam-college-of-arts-and-science-trichy
375,immaculate-college-for-women-villupuram
376,indian-arts-and-science-college-tiruvannamalai-tiruvanamalai
377,indian-harvard-arts-and-science-college-chennai
378,indian-institute-of-engineering-science-and-technology-shibpur
379,indian-institute-of-engineering-science-and-technology-shibpur
380,indian-institute-of-foreign-trade-new-delhi
381,indian-institute-of-forest-management-bhopal
382,indian-institute-of-information-technology-allahabad
383,indian-institute-of-information-technology-design-and-manufacturing-chennai
384,indian-institute-of-management-ahmedabad
385,indian-institute-of-management-bangalore-bengaluru
386,indian-institute-of-management-calcutta-kolkata
387,indian-institute-of-management-calcutta-kolkata
388,indian-institute-of-management-indore
389,indian-institute-of-management-kashipur
390,indian-institute-of-management-kozhikode
391,indian-institute-of-management-lucknow
392,indian-institute-of-management-raipur
393,indian-institute-of-management-ranchi
394,indian-institute-of-management-rohtak
395,indian-institute-of-management-shillong
396,indian-institute-of-management-tiruchirappalli
397,indian-institute-of-management-udaipur
398,indian-institute-of-science-bengaluru
399,indian-institute-of-science-bengaluru
400,indian-institute-of-science-education-and-research-bhopal
401,indian-institute-of-science-education-and-research-kolkata
402,indian-institute-of-science-education-and-research-mohali
403,indian-institute-of-science-education-and-research-pune
404,indian-institute-of-space-science-and-technology-thiruvananthapuram
405,indian-institute-of-technology-banaras-hindu-university-varanasi
406,indian-institute-of-technology-banaras-hindu-university-varanasi
407,indian-institute-of-technology-bhubaneswar
408,indian-institute-of-technology-bhubaneswar
409,indian-institute-of-technology-bombay-mumbai
410,indian-institute-of-technology-bombay-mumbai
411,indian-institute-of-technology-bombay-mumbai
412,indian-institute-of-technology-delhi
413,indian-institute-of-technology-delhi
414,indian-institute-of-technology-delhi
415,indian-institute-of-technology-gandhinagar
416,indian-institute-of-technology-gandhinagar
417,indian-institute-of-technology-guwahati
418,indian-institute-of-technology-guwahati
419,indian-institute-of-technology-hyderabad
420,indian-institute-of-technology-hyderabad
421,indian-institute-of-technology-indian-school-of-mines-dhanbad
422,indian-institute-of-technology-indian-school-of-mines-dhanbad
423,indian-institute-of-technology-indian-school-of-mines-dhanbad
424,indian-institute-of-technology-indore
425,indian-institute-of-technology-jodhpur
426,indian-institute-of-technology-kanpur
427,indian-institute-of-technology-kanpur
428,indian-institute-of-technology-kanpur
429,indian-institute-of-technology-kharagpur
430,indian-institute-of-technology-kharagpur
431,indian-institute-of-technology-kharagpur
432,indian-institute-of-technology-kharagpur
433,indian-institute-of-technology-kharagpur
434,indian-institute-of-technology-madras
435,indian-institute-of-technology-madras-chennai
436,indian-institute-of-technology-madras-chennai
437,indian-institute-of-technology-mandi
438,indian-institute-of-technology-mandi
439,indian-institute-of-technology-patna
440,indian-institute-of-technology-patna
441,indian-institute-of-technology-roorkee
442,indian-institute-of-technology-roorkee
443,indian-institute-of-technology-roorkee
444,indian-institute-of-technology-roorkee
445,indian-institute-of-technology-ropar-rupnagar
446,indian-law-institute-new-delhi
447,indira-gandhi-delhi-technical-university-for-women-delhi
448,indira-gandhi-jayanthi-women's-college-villupuram
449,indira-institute-of-engineering-and-technology
450,indo-american-college-tiruvannamalai-tiruvanamalai
451,indraprastha-college-for-women-delhi
452,indraprastha-institute-of-information-technology-new-delhi
453,info-institute-of-engineering-coimbatore
454,institute-for-financial-management-and-research-satyavedu
455,institute-of-aeronautical-engineering-hyderabad
456,institute-of-chemical-technology-mumbai
457,institute-of-chemical-technology-mumbai
458,institute-of-chemical-technology-mumbai
459,institute-of-engineering-and-management-kolkata
460,institute-of-management-and-entrepreneurship-development-pune
461,institute-of-management-technology-ghaziabad
462,institute-of-management-technology-hyderabad
463,institute-of-management-technology-nagpur
464,institute-of-rural-management-anand
465,international-institute-of-information-technology-bangalore
466,international-institute-of-information-technology-hyderabad
467,international-institute-of-information-technology-hyderabad
468,international-management-institute-bhubaneswar
469,international-management-institute-kolkata
470,international-management-institute-new-delhi
471,islamiah-college-vellore
472,islamiah-women's-arts-and-science-college-vellore
473,ja-arts-and-science-college-chennai
474,jadavpur-university-kolkata
475,jadavpur-university-kolkata
476,jadavpur-university-kolkata
477,jagan-institute-of-management-studies-delhi
478,jain-university-bengaluru
479,jaipuria-institute-of-management-jaipur
480,jaipuria-institute-of-management-lucknow
481,jaipuria-institute-of-management-lucknow
482,jairam-arts-and-science-college-salem
483,jairams-arts-&-science-college-karur
484,jamal-mohamed-college-tiruchirappalli
485,jamal-mohamed-college-trichy
486,jamia-hamdard-new-delhi
487,jamia-hamdard-new-delhi
488,jamia-millia-islamia-new-delhi
489,jamia-millia-islamia-new-delhi
490,jamia-millia-islamia-new-delhi
491,jamia-millia-islamia-new-delhi
492,jamia-millia-islamia-new-delhi
493,jamia-millia-islamia-new-delhi
494,jawaharlal-nehru-technological-university-hyderabad
495,jawaharlal-nehru-university-new-delhi
496,jawaharlal-nehru-university-new-delhi
497,jawahar-science-college-neyveli-cuddalore
498,jaya-college-of-arts-and-science-tiruvallur
499,jaya-engineering-college
500,jaya-engineering-college
501,jayagovind-harigopal-agarwal-agarsen-college-chennai
502,jayaraj-annapackiam-college-for-women-autonomous-theni
503,jaya-suriya-engineering-college
504,jaypee-institute-of-information-technology-noida
505,jaypee-university-of-information-technology-solan
506,jeppiaar-engineering-college
507,jesus-&-mary-college-new-delhi
508,jeyaraj-chelladurai-college-of-arts-and-science-theni
509,jj-college-of-arts-&-science-pudukkottai-pudukottai
510,jkk-nataraja-college-of-arts-and-science-namakkal
511,jkknattraja-college-of-engineering-and-technology
512,jnn-institute-of-engineering
513,jntua-college-of-engineering-anantapur
514,john-bosco-arts-and-science-college-tiruvallur
515,joseph-arts-and-science-college-villupuram
516,jothi-college-vellore
517,jss-academy-of-higher-education-and-research-mysore
518,jss-academy-of-higher-education-and-research-mysuru
519,justice-basheer-ahmed-syed-college-for-women-chennai
520,justice-basher-ahmed-sayeed-college-for-women-chennai
521,kaamadhenu-arts-and-science-college-erode
522,kairali-arts-science-and-commerce-college-coimbatore
523,kakatiya-institute-of-technology-and-science-warangal
524,kalaignar-karunanidhi-institute-of-technology
525,kalaivani-college-of-technology-coimbatore
526,kalasalingam-academy-of-research-and-higher-education-srivilliputtur
527,kalindi-college-delhi
528,kalinga-institute-of-industrial-technology-bhubaneswar
529,kalinga-institute-of-industrial-technology-bhubaneswar
530,kalinga-institute-of-industrial-technology-bhubaneswar
531,kalinga-institute-of-industrial-technology-bhubaneswar
532,kalinga-institute-of-industrial-technology-bhubaneswar
533,kalsar-college-of-engineering
534,kalyani-university-kalyani
535,kamadhenu-college-of-arts-and-science-dharmapuri
536,kamala-nehru-college-delhi
537,kamaraj-college-tuticorintu-tuticorin
538,kamban-college-arts-and-science-for-women-tiruvannamalai-tiruvanamalai
539,kanchi-kamatchi-amman-arts-and-science-college-for-women-kanchipuram
540,kanchi-mamunivar-centre-for-post-graduate-studies-puducherry
541,kanchi-shri-krishna-college-of-arts-and-science-kanchipuram
542,kandaswami-kandar's-college-namakkal
543,karpagam-university-karpagam-arts-and-science-college-coimbatore
544,karunya-institute-of-technology-and-sciences-coimbatore
545,karunya-institute-of-technology-and-sciences-coimbatore
546,karuppannan-mariappan-college-erode
547,kathir-college-of-engineering
548,kaveripakkam-arts-and-science-college-kaveripakkam-vellore
549,kaypeeyes-college-of-arts-and-science-nilgiris
550,kcg-college-of-technology
551,kcs-kasi-nadar-college-of-arts-and-science-chennai
552,kerala-university-thiruvananthapuram
553,kerala-university-thiruvananthapuram
554,keshav-mahavidyalya-delhi
555,kg-college-of-arts-and-science-coimbatore
556,kgisl-institute-of-technology
557,khadir-mohideen-college-thanjavur
558,king-college-of-technology
559,king-georges-medical-university-lucknow
560,king-georges-medical-university-lucknow
561,king-nandivarman-college-of-arts-and-science-tiruvannamalai-tiruvanamalai
562,kings-college-of-arts-and-science-for-women-namakkal
563,kings-engineering-college
564,kirori-mal-college-delhi
565,k-j-somaiya-college-of-engineering-mumbai
566,k-j-somaiya-institute-of-management-studies-and-research-mumbai
567,kle-academy-of-higher-education-and-research-belagavi
568,kle-academy-of-higher-education-and-research-belagavi
569,kle-technological-university-dharwad
570,kmg-college-of-arts-and-science-vellore
571,knowledge-institute-of-technology salem
572,kodaikanal-christian-college-kodaikanal-dindigul
573,koneru-lakshmaiah-education-foundation-university
574,koneru-lakshmaiah-education-foundation-university-k-l-college-of-engineering-vaddeswaram
575,koneru-lakshmaiah-education-foundation-university-k-l-college-of-engineering-vaddeswaram
576,koneru-lakshmaiah-education-foundation-university-k-l-college-of-engineering-vaddeswaram
577,kongu-arts-and-science-college-erode
578,kongu-college-of-arts-and-science-karur
579,kongu-engineering-college-perundurai
580,kongu-engineering-college-perundurai erode
581,kongunadu-arts-and-science-college-coimbatore
582,kongunadu-arts-and-science-college-coimbatore
583,kovai-kalaimagal-college-of-arts-and-science-coimbatore
584,kpr-institute-of-engineering-and-technology coimbatore
585,kr-arts-and-science-college-tuticorin
586,krishnasamy-college-of-science-arts-and-management-for-women-cuddalore
587,ksg-college-of-arts-and-science-coimbatore
588,ks-raja-college-of-arts-and-science-for-women-villupuram
589,k-s-rangasamy-college-of-technology thiruchengode
590,ksr-college-of-arts-and-science-namakkal
591,ktvr-knowledge-park-for-engineering-and-technology
592,kumaraguru-college-of-technology coimbatore
593,kumaraguru-college-of-technology-coimbatore
594,kumara-rani-meena-muthiah-college-of-arts-and-science-for-women-chennai
595,kundavai-nachiyar-govt-college-for-women-thanjavur
596,kurinji-arts-and-science-college-trichy
597,kurinji-college-of-engineering-and-technology
598,kurukshetra-university-kurukshetra
599,kuvempu-university-shimoga
600,lady-doak-college-autonomous-madurai
601,lady-doak-college-madurai
602,lady-irwin-college-delhi
603,lady-shri-ram-college-for-women-new-delhi
604,lakshmi-narayanan-visalakshi-college-of-arts-and-science-coimbatore
605,lakshmipuram-college-of-arts-and-science-kanyakumari
606,lal-bahadur-shastri-institute-of-management-delhi
607,loganatha-narayanasamy-govt-arts-college-tiruvallur
608,loreto-college-kolkata
609,lovely-professional-university-phagwara
610,lovely-professional-university-phagwara
611,loyola-college-autonomous-chennai
612,loyola-college-chennai
613,loyola-college-of-engineering
614,loyola-institute-of-business-administration-chennai
615,lrg-govt-arts-college-for-women-tiruppur-coimbatore
616,madha-arts-and-science-college-chennai
617,madha-engineering-college
618,madras-christian-college-autonomous-chennai
619,madras-christian-college-chennai
620,madras-school-of-social-work-chennai
621,madura-college-autonomous-madurai
622,madurai-institute-of-social-sciences-madurai
623,madurai-kamaraj-university-college-theni
624,madurai-kamaraj-university-evening-college-dindigul
625,madurai-kamaraj-university-evening-college-dindigul
626,madurai-kamaraj-university-evening-college-madurai
627,madurai-kamaraj-university-evening-college-ramanathapuram-ramnad
628,madurai-kamaraj-university-evening-college-theni
629,madurai-kamaraj-university-evening-college-theni
630,madurai-kamaraj-university-madurai
631,madurai-kamaraj-university-madurai
632,madurai-sivakasi-nadars-college-for-women-sivagangai
